Team,Target,Granularity,Model,Step,Forecast,Lower_CI,Upper_CI
KKR,wickets,match,Prophet,1,6.386636183135874,3.2778858982882317,9.487209376716297
KKR,wickets,match,Prophet,2,6.373865268360079,3.21725722300525,9.538326529766017
KKR,wickets,match,Prophet,3,6.355800436756738,3.246437906147319,9.208069609795634
KKR,wickets,match,Prophet,4,6.333618975800272,3.30073212948603,9.412033418726876
KKR,wickets,match,Prophet,5,6.308649349325929,3.4805850773128424,9.459299121657425
KKR,win_probability_proxy,match,ARIMA,1,0.4881013944029481,-0.49366142645490774,1.469864215260804
KKR,win_probability_proxy,match,ARIMA,2,0.5347855044839398,-0.4475132013157668,1.5170842102836464
KKR,win_probability_proxy,match,ARIMA,3,0.4911562616602294,-0.49140928200182654,1.4737218053222854
KKR,win_probability_proxy,match,ARIMA,4,0.5305757147012016,-0.45243897695411806,1.513590406356521
KKR,win_probability_proxy,match,ARIMA,5,0.49496375433844303,-0.48820852701222667,1.4781360356891127
KKR,win_probability_proxy,match,SARIMAX,1,-0.38481190613539296,-1.1741592001951728,0.40453538792438704
KKR,win_probability_proxy,match,SARIMAX,2,-0.38194135437357724,-1.171286449438341,0.40740374069118646
KKR,win_probability_proxy,match,SARIMAX,3,-0.42115613420137,-1.2105248863762799,0.3682126179735399
KKR,win_probability_proxy,match,SARIMAX,4,-0.3535317532304506,-1.142923414001808,0.43585990754090675
KKR,win_probability_proxy,match,SARIMAX,5,-0.37988143083422377,-1.1692960074413161,0.4095331457728685
KKR,win_probability_proxy,match,Prophet,1,0.554551505101189,-0.08014533223414416,1.150437228869589
KKR,win_probability_proxy,match,Prophet,2,0.5621804754330694,-0.04114150093018282,1.1731623631822148
KKR,win_probability_proxy,match,Prophet,3,0.5697204393249634,-0.0964184873184268,1.2269270470434577
KKR,win_probability_proxy,match,Prophet,4,0.5767888915858689,-0.029343945637409687,1.1809667401818413
KKR,win_probability_proxy,match,Prophet,5,0.5830487371975446,-0.07554985878033511,1.2435686160318817
KTK,runs,match,ARIMA,1,124.99995917717129,124.97583336610437,125.02408498823822
KTK,runs,match,ARIMA,2,124.99996739953723,124.96584832835615,125.03408647071831
KTK,runs,match,ARIMA,3,124.99996739954753,124.95818023682838,125.04175456226668
KTK,runs,match,ARIMA,4,124.99996739954643,124.95171573721265,125.04821906188022
KTK,runs,match,ARIMA,5,124.99996739954643,124.94602039900118,125.05391440009168
KTK,runs,match,SARIMAX,1,125.0,124.99998040036016,125.00001959963984
KTK,runs,match,SARIMAX,2,125.0,124.99997697610976,125.00002302389024
KTK,runs,match,SARIMAX,3,125.0,124.99997230243926,125.00002769756074
KTK,runs,match,SARIMAX,4,125.0,124.99996899472839,125.00003100527161
KTK,runs,match,SARIMAX,5,125.0,124.99996573803277,125.00003426196723
KTK,runs,match,Prophet,1,90.85039814490153,76.30487405855835,104.1608094347854
KTK,runs,match,Prophet,2,43.06064545977762,29.379790044776648,57.77660723498762
KTK,runs,match,Prophet,3,-20.39027617398743,-35.06109537367747,-5.387103180337545
KTK,runs,match,Prophet,4,-100.7315640618266,-114.46568386379116,-85.85886953896701
KTK,runs,match,Prophet,5,-198.8089150464533,-213.3479691456212,-184.59297966633204
KTK,wickets,match,ARIMA,1,9.000005257839742,8.975870893759808,9.024139621919677
KTK,wickets,match,ARIMA,2,9.000003179183427,8.965872009304055,9.034134349062798
KTK,wickets,match,ARIMA,3,9.000003179180425,8.958201201000545,9.041805157360304
KTK,wickets,match,ARIMA,4,9.000003179180965,8.951734410788072,9.048271947573857
KTK,wickets,match,ARIMA,5,9.000003179180965,8.946037054393441,9.053969303968488
KTK,wickets,match,SARIMAX,1,9.000000000000004,8.999980384186868,9.00001961581314
KTK,wickets,match,SARIMAX,2,9.000000000000002,8.999975229586473,9.00002477041353
KTK,wickets,match,SARIMAX,3,9.000000000000004,8.999969023952627,9.00003097604738
KTK,wickets,match,SARIMAX,4,9.000000000000002,8.999965174096337,9.000034825903667
KTK,wickets,match,SARIMAX,5,9.000000000000004,8.999960801284494,9.000039198715513
KTK,wickets,match,Prophet,1,12.554095914149299,10.266647208200066,14.913904162972294
KTK,wickets,match,Prophet,2,17.747069648611998,15.394843219148504,19.95048691746458
KTK,wickets,match,Prophet,3,24.533695642189375,22.50179291497043,26.729215035709412
KTK,wickets,match,Prophet,4,33.03500480390957,30.75080509802045,35.39467663616936
KTK,wickets,match,Prophet,5,43.33308212135226,41.17404097732792,45.52761236825467
KTK,win_probability_proxy,match,ARIMA,1,-0.41138932686950835,-1.0352278686459266,0.21244921490691004
KTK,win_probability_proxy,match,ARIMA,2,-0.02573429788582221,-0.6989910000351569,0.6475224042635126
KTK,win_probability_proxy,match,ARIMA,3,0.6414393681512187,-0.023756275392924242,1.3066350116953616
KTK,win_probability_proxy,match,ARIMA,4,0.7834226485320283,0.12694781452861859,1.439897482535438
KTK,win_probability_proxy,match,ARIMA,5,0.27393236732751036,-0.488665331426848,1.0365300660818688
KTK,win_probability_proxy,match,SARIMAX,1,1.1102230246251565e-16,-1.9599639845289616e-05,1.959963984551166e-05
KTK,win_probability_proxy,match,SARIMAX,2,1.1102230246251565e-16,-2.5195756244167266e-05,2.519575624438931e-05
KTK,win_probability_proxy,match,SARIMAX,3,1.1102230246251565e-16,-3.0231327006171604e-05,3.023132700639365e-05
KTK,win_probability_proxy,match,SARIMAX,4,1.1102230246251565e-16,-3.444286950718373e-05,3.4442869507405773e-05
KTK,win_probability_proxy,match,SARIMAX,5,1.1102230246251565e-16,-3.8213121815186114e-05,3.821312181540816e-05
KTK,win_probability_proxy,match,Prophet,1,-0.3180516423322004,-0.6873677359110376,0.0740885126028066
KTK,win_probability_proxy,match,Prophet,2,-1.005840028225891,-1.383664172025476,-0.6155821439315602
KTK,win_probability_proxy,match,Prophet,3,-1.9016590556484392,-2.3040547716353097,-1.544258776804373
KTK,win_probability_proxy,match,Prophet,4,-3.0211667112280858,-3.40708840394145,-2.6496774553993947
KTK,win_probability_proxy,match,Prophet,5,-4.374953109990576,-4.7332424557543815,-3.953813609656467
LSG,runs,match,ARIMA,1,172.2426740816373,106.61171310668945,237.87363505658513
LSG,runs,match,ARIMA,2,171.95866470481832,106.340162154059,237.57716725557765
LSG,runs,match,ARIMA,3,172.07078835619606,106.37074348615103,237.7708332262411
LSG,runs,match,ARIMA,4,171.9687605927955,106.28118505159742,237.65633613399356
LSG,runs,match,ARIMA,5,172.06060475245317,106.31260519442404,237.8086043104823
LSG,runs,match,SARIMAX,1,194.7231320585843,178.14018630827968,211.30607780888892
LSG,runs,match,SARIMAX,2,198.13486391762711,178.19788505293255,218.07184278232168
LSG,runs,match,SARIMAX,3,199.59698909531906,177.31957385918685,221.87440433145127
